"plate_id","garden","meso_id","soil_id","seed_id","intact_seeds","seed_code","plating_date","germination_date","fungidate_type","fungi_type","death_date","obs","notes","colonization","home_away"
345,"SUM",44,"NG","SR",8,"B",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
345,"SUM",44,"NG","SR",8,"C",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
345,"SUM",44,"NG","SR",8,"D",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
345,"SUM",44,"NG","SR",8,"E",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
345,"SUM",44,"NG","SR",8,"F",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
345,"SUM",44,"NG","SR",8,"G",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
345,"SUM",44,"NG","SR",8,"H",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
344,"SUM",44,"NG","OH",10,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
344,"SUM",44,"NG","OH",10,"B",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
344,"SUM",44,"NG","OH",10,"C",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
344,"SUM",44,"NG","OH",10,"D",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
344,"SUM",44,"NG","OH",10,"E",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
344,"SUM",44,"NG","OH",10,"F",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
