"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"WIL",28,"HG","Live",3,28,"HL",2,"SR",3,1,5,1,"HL","45810","extra weird bag, had to guess a little bit"
"SUM",28,"HG","Live",3,28,"HL",3,"OH",7,2,0,1,"SF","45798",NA
"WIL",28,"HG","Live",3,28,"HL",3,"CR",8,0,1,1,"HL","45810",NA
"SUM",29,"AH","Dead",2,29,"HL",1,"AH",5,5,0,0,"SF","45798",NA
"WIL",29,"AH","Dead",2,29,"HL",1,"AH",7,3,0,0,"SF","45811","1 intact landed on counter, white dots"
"SUM",29,"AH","Dead",2,29,"HL",2,"RC",2,8,0,0,"SF","45798","1 intact shriveled"
"WIL",29,"AH","Dead",2,29,"HL",2,"RC",2,8,0,0,"SF","45811","1 intact shriveled"
"SUM",29,"AH","Dead",2,29,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",29,"AH","Dead",2,29,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",30,"CR","Live",2,30,"HL",1,"TI",6,4,0,0,"SF","45798","intact super shriveled"
"WIL",30,"CR","Live",2,30,"HL",1,"BB",5,5,0,0,"HL","45810",NA
"SUM",30,"CR","Live",2,30,"HL",2,"BB",1,9,0,0,"SF","45798",NA
"WIL",30,"CR","Live",2,30,"HL",2,"TI",3,7,0,0,"HL","45810","weird"
"SUM",30,"CR","Live",2,30,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",30,"CR","Live",2,30,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",31,"SR","Live",2,31,"HL",1,"NG",1,8,0,1,"SF","45798",NA
"WIL",31,"SR","Live",2,31,"HL",1,"missing",NA,NA,NA,NA,NA,NA,NA
"SUM",31,"SR","Live",2,31,"HL",2,"BB",0,0,0,0,"SF","45798",NA
"WIL",31,"SR","Live",2,31,"HL",2,"missing",NA,NA,NA,NA,NA,NA,NA
"SUM",31,"SR","Live",2,31,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
