"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","obs","date","notes","seed_fate","n_seeds"
"WIL",8,"BB","Live",3,8,"HL",1,"BB",8,"SF","45812",NA,"missing",0
"SUM",8,"BB","Live",3,8,"HL",2,"RC",3,"SF","45810","intact super shriveled","germinated",6
"SUM",8,"BB","Live",3,8,"HL",2,"RC",3,"SF","45810","intact super shriveled","burst",0
"SUM",8,"BB","Live",3,8,"HL",2,"RC",3,"SF","45810","intact super shriveled","missing",1
"WIL",8,"BB","Live",3,8,"HL",2,"RC",5,"SF","45812","1 intact fell apart","germinated",4
"WIL",8,"BB","Live",3,8,"HL",2,"RC",5,"SF","45812","1 intact fell apart","burst",0
"WIL",8,"BB","Live",3,8,"HL",2,"RC",5,"SF","45812","1 intact fell apart","missing",1
"SUM",8,"BB","Live",3,8,"HL",3,"HR",10,"SF","45810","white dots on intact","germinated",0
"SUM",8,"BB","Live",3,8,"HL",3,"HR",10,"SF","45810","white dots on intact","burst",0
"SUM",8,"BB","Live",3,8,"HL",3,"HR",10,"SF","45810","white dots on intact","missing",0
"WIL",8,"BB","Live",3,8,"HL",3,"HR",8,"SF","45812","1 intact, white/fuzzy","germinated",2
"WIL",8,"BB","Live",3,8,"HL",3,"HR",8,"SF","45812","1 intact, white/fuzzy","burst",0
"WIL",8,"BB","Live",3,8,"HL",3,"HR",8,"SF","45812","1 intact, white/fuzzy","missing",0
"SUM",9,"OH","Live",2,9,"HL",1,"TI",1,"SF","45810",NA,"germinated",8
"SUM",9,"OH","Live",2,9,"HL",1,"TI",1,"SF","45810",NA,"burst",0
"SUM",9,"OH","Live",2,9,"HL",1,"TI",1,"SF","45810",NA,"missing",1
"WIL",9,"OH","Live",2,9,"HL",1,"TI",6,"HL","45811",NA,"germinated",3
"WIL",9,"OH","Live",2,9,"HL",1,"TI",6,"HL","45811",NA,"burst",1
"WIL",9,"OH","Live",2,9,"HL",1,"TI",6,"HL","45811",NA,"missing",0
"SUM",9,"OH","Live",2,9,"HL",2,"NG",4,"SF","45810","germs in pieces, intact have white fuzz","germinated",5
"SUM",9,"OH","Live",2,9,"HL",2,"NG",4,"SF","45810","germs in pieces, intact have white fuzz","burst",0
"SUM",9,"OH","Live",2,9,"HL",2,"NG",4,"SF","45810","germs in pieces, intact have white fuzz","missing",1
"WIL",9,"OH","Live",2,9,"HL",2,"NG",1,"HL","45811",NA,"germinated",8
"WIL",9,"OH","Live",2,9,"HL",2,"NG",1,"HL","45811",NA,"burst",0
"WIL",9,"OH","Live",2,9,"HL",2,"NG",1,"HL","45811",NA,"missing",1
"SUM",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"SUM",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"SUM",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"WIL",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"WIL",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"WIL",9,"OH","Live",2,9,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"SUM",10,"SR","Live",3,10,"HL",1,"SR",2,"SF","45810","1 intact dropped on counter","germinated",7
"SUM",10,"SR","Live",3,10,"HL",1,"SR",2,"SF","45810","1 intact dropped on counter","burst",1
"SUM",10,"SR","Live",3,10,"HL",1,"SR",2,"SF","45810","1 intact dropped on counter","missing",0
"WIL",10,"SR","Live",3,10,"HL",1,"AH",10,"HL","45810","extra","germinated",1
"WIL",10,"SR","Live",3,10,"HL",1,"AH",10,"HL","45810","extra","burst",0
"WIL",10,"SR","Live",3,10,"HL",1,"AH",10,"HL","45810","extra","missing",0
"SUM",10,"SR","Live",3,10,"HL",2,"HG",9,"SF","45810","1 intact could be germ","germinated",1
"SUM",10,"SR","Live",3,10,"HL",2,"HG",9,"SF","45810","1 intact could be germ","burst",0
"SUM",10,"SR","Live",3,10,"HL",2,"HG",9,"SF","45810","1 intact could be germ","missing",0
"WIL",10,"SR","Live",3,10,"HL",2,"SR",9,"HL","45810",NA,"germinated",0
"WIL",10,"SR","Live",3,10,"HL",2,"SR",9,"HL","45810",NA,"burst",0
"WIL",10,"SR","Live",3,10,"HL",2,"SR",9,"HL","45810",NA,"missing",1
"SUM",10,"SR","Live",3,10,"HL",3,"AH",10,"SF","45810",NA,"germinated",0
"SUM",10,"SR","Live",3,10,"HL",3,"AH",10,"SF","45810",NA,"burst",0
"SUM",10,"SR","Live",3,10,"HL",3,"AH",10,"SF","45810",NA,"missing",0
"WIL",10,"SR","Live",3,10,"HL",3,"HG",10,"SF","45811","1 extra seed","germinated",1
